x	y	epresenceScore	epresence	eorientScore	eorient	ecorr
GU.1771_<<_GU.2508	GU.1771	GU.2508	0.472386865845414	1	NA	1	NA
GU.2508_<<_GU.921	GU.2508	GU.921	0.436247358966219	1	NA	1	NA
GU.2508_<<_GU.2750	GU.2508	GU.2750	0.436247358966219	1	NA	1	NA
GU.921_<<_GU.6266	GU.921	GU.6266	0.200569667938323	1	NA	1	NA
GU.699_<<_GU.2616	GU.699	GU.2616	0.187944147734172	1	NA	1	NA
GU.699_<<_GU.805	GU.699	GU.805	0.187944147734172	1	NA	1	NA
GU.2616_<<_GU.805	GU.2616	GU.805	0.187944147734172	1	NA	1	NA
GU.1771_<<_GU.124	GU.1771	GU.124	0.109591046774762	1	NA	1	NA
GU.124_<<_GU.699	GU.124	GU.699	0.0598094576062596	1	NA	1	NA
GU.124_<<_GU.2616	GU.124	GU.2616	0.0598094576062596	1	NA	1	NA
GU.124_<<_GU.805	GU.124	GU.805	0.0598094576062596	1	NA	1	NA
GU.1771_<<_GU.921	GU.1771	GU.921	0	0	NA	0	NA
GU.1771_<<_GU.2750	GU.1771	GU.2750	0	0	NA	0	NA
GU.1771_<<_GU.699	GU.1771	GU.699	0	0	NA	0	NA
GU.1771_<<_GU.2616	GU.1771	GU.2616	0	0	NA	0	NA
GU.1771_<<_GU.805	GU.1771	GU.805	0	0	NA	0	NA
GU.1771_<<_GU.6266	GU.1771	GU.6266	0	0	NA	0	NA
GU.2508_<<_GU.124	GU.2508	GU.124	0	0	NA	0	NA
GU.2508_<<_GU.699	GU.2508	GU.699	0	0	NA	0	NA
GU.2508_<<_GU.2616	GU.2508	GU.2616	0	0	NA	0	NA
GU.2508_<<_GU.805	GU.2508	GU.805	0	0	NA	0	NA
GU.2508_<<_GU.6266	GU.2508	GU.6266	0	0	NA	0	NA
GU.921_<<_GU.124	GU.921	GU.124	0	0	NA	0	NA
GU.921_<<_GU.2750	GU.921	GU.2750	0	0	NA	0	NA
GU.921_<<_GU.699	GU.921	GU.699	0	0	NA	0	NA
GU.921_<<_GU.2616	GU.921	GU.2616	0	0	NA	0	NA
GU.921_<<_GU.805	GU.921	GU.805	0	0	NA	0	NA
GU.124_<<_GU.2750	GU.124	GU.2750	0	0	NA	0	NA
GU.124_<<_GU.6266	GU.124	GU.6266	0	0	NA	0	NA
GU.2750_<<_GU.699	GU.2750	GU.699	0	0	NA	0	NA
GU.2750_<<_GU.2616	GU.2750	GU.2616	0	0	NA	0	NA
GU.2750_<<_GU.805	GU.2750	GU.805	0	0	NA	0	NA
GU.2750_<<_GU.6266	GU.2750	GU.6266	0	0	NA	0	NA
GU.699_<<_GU.6266	GU.699	GU.6266	0	0	NA	0	NA
GU.2616_<<_GU.6266	GU.2616	GU.6266	0	0	NA	0	NA
GU.805_<<_GU.6266	GU.805	GU.6266	0	0	NA	0	NA
