x	y	epresenceScore	epresence	eorientScore	eorient	ecorr
GU.1771_<<_GU.2508	GU.1771	GU.2508	NA	1	NA	-2	NA
GU.1771_<<_GU.921	GU.1771	GU.921	NA	0	NA	0	NA
GU.1771_<<_GU.124	GU.1771	GU.124	NA	1	NA	2	NA
GU.1771_<<_GU.2750	GU.1771	GU.2750	NA	0	NA	0	NA
GU.1771_<<_GU.699	GU.1771	GU.699	NA	0	NA	0	NA
GU.1771_<<_GU.2616	GU.1771	GU.2616	NA	0	NA	0	NA
GU.1771_<<_GU.805	GU.1771	GU.805	NA	0	NA	0	NA
GU.1771_<<_GU.6266	GU.1771	GU.6266	NA	0	NA	0	NA
GU.2508_<<_GU.921	GU.2508	GU.921	NA	1	NA	-2	NA
GU.2508_<<_GU.124	GU.2508	GU.124	NA	0	NA	0	NA
GU.2508_<<_GU.2750	GU.2508	GU.2750	NA	1	NA	2	NA
GU.2508_<<_GU.699	GU.2508	GU.699	NA	0	NA	0	NA
GU.2508_<<_GU.2616	GU.2508	GU.2616	NA	0	NA	0	NA
GU.2508_<<_GU.805	GU.2508	GU.805	NA	0	NA	0	NA
GU.2508_<<_GU.6266	GU.2508	GU.6266	NA	0	NA	0	NA
GU.921_<<_GU.124	GU.921	GU.124	NA	0	NA	0	NA
GU.921_<<_GU.2750	GU.921	GU.2750	NA	0	NA	0	NA
GU.921_<<_GU.699	GU.921	GU.699	NA	0	NA	0	NA
GU.921_<<_GU.2616	GU.921	GU.2616	NA	0	NA	0	NA
GU.921_<<_GU.805	GU.921	GU.805	NA	0	NA	0	NA
GU.921_<<_GU.6266	GU.921	GU.6266	NA	1	NA	2	NA
GU.124_<<_GU.2750	GU.124	GU.2750	NA	0	NA	0	NA
GU.124_<<_GU.699	GU.124	GU.699	NA	1	NA	2	NA
GU.124_<<_GU.2616	GU.124	GU.2616	NA	0	NA	0	NA
GU.124_<<_GU.805	GU.124	GU.805	NA	0	NA	0	NA
GU.124_<<_GU.6266	GU.124	GU.6266	NA	0	NA	0	NA
GU.2750_<<_GU.699	GU.2750	GU.699	NA	0	NA	0	NA
GU.2750_<<_GU.2616	GU.2750	GU.2616	NA	0	NA	0	NA
GU.2750_<<_GU.805	GU.2750	GU.805	NA	0	NA	0	NA
GU.2750_<<_GU.6266	GU.2750	GU.6266	NA	1	NA	-2	NA
GU.699_<<_GU.2616	GU.699	GU.2616	NA	1	NA	2	NA
GU.699_<<_GU.805	GU.699	GU.805	NA	1	NA	2	NA
GU.699_<<_GU.6266	GU.699	GU.6266	NA	0	NA	0	NA
GU.2616_<<_GU.805	GU.2616	GU.805	NA	1	NA	2	NA
GU.2616_<<_GU.6266	GU.2616	GU.6266	NA	0	NA	0	NA
GU.805_<<_GU.6266	GU.805	GU.6266	NA	0	NA	0	NA
