x	y	epresenceScore	epresence	eorientScore	eorient	ecorr
GU.185_<<_GU.178	GU.185	GU.178	NA	1	NA	2	NA
GU.185_<<_GU.1020	GU.185	GU.1020	NA	0	NA	0	NA
GU.185_<<_GU.400	GU.185	GU.400	NA	0	NA	0	NA
GU.185_<<_GU.760	GU.185	GU.760	NA	0	NA	0	NA
GU.185_<<_GU.905	GU.185	GU.905	NA	0	NA	0	NA
GU.185_<<_GU.921	GU.185	GU.921	NA	0	NA	0	NA
GU.185_<<_GU.1924	GU.185	GU.1924	NA	1	NA	2	NA
GU.185_<<_GU.6266	GU.185	GU.6266	NA	0	NA	0	NA
GU.178_<<_GU.1020	GU.178	GU.1020	NA	1	NA	2	NA
GU.178_<<_GU.400	GU.178	GU.400	NA	0	NA	0	NA
GU.178_<<_GU.760	GU.178	GU.760	NA	1	NA	2	NA
GU.178_<<_GU.905	GU.178	GU.905	NA	1	NA	2	NA
GU.178_<<_GU.921	GU.178	GU.921	NA	0	NA	0	NA
GU.178_<<_GU.1924	GU.178	GU.1924	NA	0	NA	0	NA
GU.178_<<_GU.6266	GU.178	GU.6266	NA	0	NA	0	NA
GU.1020_<<_GU.400	GU.1020	GU.400	NA	1	NA	2	NA
GU.1020_<<_GU.760	GU.1020	GU.760	NA	0	NA	0	NA
GU.1020_<<_GU.905	GU.1020	GU.905	NA	0	NA	0	NA
GU.1020_<<_GU.921	GU.1020	GU.921	NA	1	NA	2	NA
GU.1020_<<_GU.1924	GU.1020	GU.1924	NA	0	NA	0	NA
GU.1020_<<_GU.6266	GU.1020	GU.6266	NA	0	NA	0	NA
GU.400_<<_GU.760	GU.400	GU.760	NA	1	NA	2	NA
GU.400_<<_GU.905	GU.400	GU.905	NA	0	NA	0	NA
GU.400_<<_GU.921	GU.400	GU.921	NA	0	NA	0	NA
GU.400_<<_GU.1924	GU.400	GU.1924	NA	1	NA	-2	NA
GU.400_<<_GU.6266	GU.400	GU.6266	NA	0	NA	0	NA
GU.760_<<_GU.905	GU.760	GU.905	NA	0	NA	0	NA
GU.760_<<_GU.921	GU.760	GU.921	NA	1	NA	-2	NA
GU.760_<<_GU.1924	GU.760	GU.1924	NA	0	NA	0	NA
GU.760_<<_GU.6266	GU.760	GU.6266	NA	0	NA	0	NA
GU.905_<<_GU.921	GU.905	GU.921	NA	1	NA	2	NA
GU.905_<<_GU.1924	GU.905	GU.1924	NA	0	NA	0	NA
GU.905_<<_GU.6266	GU.905	GU.6266	NA	0	NA	0	NA
GU.921_<<_GU.1924	GU.921	GU.1924	NA	0	NA	0	NA
GU.921_<<_GU.6266	GU.921	GU.6266	NA	1	NA	2	NA
GU.1924_<<_GU.6266	GU.1924	GU.6266	NA	0	NA	0	NA
