x	y	avg.rank	avg.ort	ecorr
GU.95_<<_GU.328	GU.95	GU.328	0.0348646563363981	1	1
GU.95_<<_GU.249	GU.95	GU.249	0.0406030990805632	1	1
GU.328_<<_GU.249	GU.328	GU.249	0.0463415418247283	-1	1
GU.166_<<_GU.93	GU.166	GU.93	0.0860605670931653	1	1
GU.166_<<_GU.1722	GU.166	GU.1722	0.0917990098373304	0	1
GU.166_<<_GU.757	GU.166	GU.757	0.0975374525814955	1	1
GU.315_<<_GU.931	GU.315	GU.931	0.103275895325661	1	1
GU.185_<<_GU.178	GU.185	GU.178	0.105076191088536	1	0.918558653543692
GU.315_<<_GU.871	GU.315	GU.871	0.109014338069826	1	1
GU.760_<<_GU.2735	GU.760	GU.2735	0.110814633832701	1	0.90905934288631
GU.315_<<_GU.412	GU.315	GU.412	0.114752780813991	1	1
GU.3349_<<_GU.2735	GU.3349	GU.2735	0.116553076576866	0	0.90905934288631
GU.409_<<_GU.85	GU.409	GU.85	0.120491223558156	1	1
GU.1771_<<_GU.2508	GU.1771	GU.2508	0.122291519321031	-1	0.90905934288631
GU.409_<<_GU.267	GU.409	GU.267	0.126229666302321	1	1
GU.2508_<<_GU.921	GU.2508	GU.921	0.130457146531216	-1	0.901127113779166
GU.409_<<_GU.1795	GU.409	GU.1795	0.131968109046486	1	1
GU.178_<<_GU.1020	GU.178	GU.1020	0.134652478621488	1	0.849836585598797
GU.2508_<<_GU.2750	GU.2508	GU.2750	0.136195589275381	1	0.901127113779166
GU.409_<<_GU.928	GU.409	GU.928	0.137706551790651	1	1
GU.931_<<_GU.871	GU.931	GU.871	0.143444994534816	0	1
GU.92_<<_GU.921	GU.92	GU.921	0.145245290297692	0	0.819178021909125
GU.931_<<_GU.412	GU.931	GU.412	0.149183437278982	0	1
GU.905_<<_GU.921	GU.905	GU.921	0.150983733041857	-1	0.819178021909125
GU.6433_<<_GU.916	GU.6433	GU.916	0.154921880023147	1	1
GU.1771_<<_GU.921	GU.1771	GU.921	0.156722175786022	1	0.819178021909125
GU.85_<<_GU.267	GU.85	GU.267	0.160660322767312	1	1
GU.905_<<_GU.1771	GU.905	GU.1771	0.162460618530187	0	0.816176470588235
GU.85_<<_GU.1795	GU.85	GU.1795	0.166398765511477	1	1
GU.85_<<_GU.928	GU.85	GU.928	0.172137208255642	1	1
GU.93_<<_GU.1722	GU.93	GU.1722	0.177875650999807	-1	1
GU.1020_<<_GU.400	GU.1020	GU.400	0.181444094386935	1	-0.714005547295417
GU.93_<<_GU.757	GU.93	GU.757	0.183614093743972	1	1
GU.267_<<_GU.1795	GU.267	GU.1795	0.189352536488137	1	1
GU.973_<<_GU.95	GU.973	GU.95	0.190043721468527	0	0.79854940950469
GU.267_<<_GU.928	GU.267	GU.928	0.195090979232302	1	1
GU.95_<<_GU.671	GU.95	GU.671	0.200636533144731	1	0.79854940950469
GU.699_<<_GU.2616	GU.699	GU.2616	0.200829421976468	1	1
GU.328_<<_GU.671	GU.328	GU.671	0.206374975888896	1	0.79854940950469
GU.699_<<_GU.805	GU.699	GU.805	0.206567864720633	1	1
GU.249_<<_GU.671	GU.249	GU.671	0.212113418633061	1	0.79854940950469
GU.1722_<<_GU.757	GU.1722	GU.757	0.212306307464798	1	1
GU.2616_<<_GU.805	GU.2616	GU.805	0.218044750208963	1	1
GU.1795_<<_GU.928	GU.1795	GU.928	0.223783192953128	1	1
GU.871_<<_GU.412	GU.871	GU.412	0.229521635697293	1	1
GU.1149_<<_GU.358	GU.1149	GU.358	0.235260078441458	1	1
GU.1020_<<_GU.2735	GU.1020	GU.2735	0.237510448145052	1	0.599144689515278
GU.1020_<<_GU.860	GU.1020	GU.860	0.243248890889218	1	-0.584897651865602
GU.860_<<_GU.973	GU.860	GU.973	0.247653185880538	-1	0.657128740672771
GU.1020_<<_GU.124	GU.1020	GU.124	0.248987333633383	1	-0.584897651865602
GU.921_<<_GU.6266	GU.921	GU.6266	0.253391628624703	1	0.657128740672771
GU.178_<<_GU.760	GU.178	GU.760	0.258037034655693	1	0.560112033611204
GU.178_<<_GU.3349	GU.178	GU.3349	0.263775477399859	1	0.560112033611204
GU.1020_<<_GU.921	GU.1020	GU.921	0.308798945541053	1	0.539905524799017
GU.1671_<<_GU.25	GU.1671	GU.25	0.327959236160226	1	0.692218655243173
GU.92_<<_GU.905	GU.92	GU.905	0.329518420883431	1	0.63235294117647
GU.1924_<<_GU.166	GU.1924	GU.166	0.333697678904391	-1	0.692218655243173
GU.92_<<_GU.1771	GU.92	GU.1771	0.335256863627596	1	0.63235294117647
GU.1924_<<_GU.93	GU.1924	GU.93	0.339436121648557	-1	0.692218655243173
GU.1924_<<_GU.699	GU.1924	GU.699	0.345174564392722	-1	0.692218655243173
GU.1924_<<_GU.1722	GU.1924	GU.1722	0.350913007136887	-1	0.692218655243173
GU.1924_<<_GU.2616	GU.1924	GU.2616	0.356651449881052	-1	0.692218655243173
GU.1924_<<_GU.805	GU.1924	GU.805	0.362389892625217	-1	0.692218655243173
GU.1924_<<_GU.757	GU.1924	GU.757	0.368128335369382	-1	0.692218655243173
GU.2735_<<_GU.3831	GU.2735	GU.3831	0.36880344628046	1	0.579066024143586
GU.185_<<_GU.760	GU.185	GU.760	0.386693885424034	1	0.514495755427527
GU.973_<<_GU.671	GU.973	GU.671	0.396820549090208	1	0.621212121212121
GU.400_<<_GU.671	GU.400	GU.671	0.397061660129878	0	0.538305421923955
GU.400_<<_GU.760	GU.400	GU.760	0.403909213656529	1	-0.470588235294118
GU.92_<<_GU.760	GU.92	GU.760	0.409647656400694	1	-0.470588235294118
GU.124_<<_GU.1671	GU.124	GU.1671	0.414936025204141	1	0.524749767832802
GU.905_<<_GU.3349	GU.905	GU.3349	0.417813283610879	-1	-0.470588235294118
GU.185_<<_GU.2508	GU.185	GU.2508	0.425978910821063	1	0.467707173346743
GU.973_<<_GU.6433	GU.973	GU.6433	0.427280910435286	0	0.552770798392567
GU.973_<<_GU.916	GU.973	GU.916	0.433019353179451	-1	0.552770798392567
GU.315_<<_GU.671	GU.315	GU.671	0.438757795923616	1	0.552770798392567
GU.905_<<_GU.2735	GU.905	GU.2735	0.439882980775413	1	-0.427792631946499
GU.931_<<_GU.671	GU.931	GU.671	0.444496238667781	1	0.552770798392567
GU.185_<<_GU.2750	GU.185	GU.2750	0.445621423519578	1	0.421463615211762
GU.871_<<_GU.671	GU.871	GU.671	0.450234681411946	1	0.552770798392567
GU.412_<<_GU.671	GU.412	GU.671	0.455973124156111	1	0.552770798392567
GU.92_<<_GU.124	GU.92	GU.124	0.486449559570501	-1	-0.385495539721941
GU.905_<<_GU.124	GU.905	GU.124	0.495499260592812	1	-0.385495539721941
GU.3349_<<_GU.860	GU.3349	GU.860	0.501237703336977	1	-0.385495539721941
GU.1771_<<_GU.124	GU.1771	GU.124	0.510287404359288	1	-0.385495539721941
GU.185_<<_GU.1924	GU.185	GU.1924	0.513807625538481	1	-0.393178549746392
GU.185_<<_GU.95	GU.185	GU.95	0.519546068282646	1	-0.393178549746392
GU.1020_<<_GU.973	GU.1020	GU.973	0.524191474313637	1	-0.384353057392904
GU.3831_<<_GU.409	GU.3831	GU.409	0.529913842988491	1	0.408248290463863
GU.400_<<_GU.860	GU.400	GU.860	0.538738507040442	1	0.417620168032103
GU.973_<<_GU.328	GU.973	GU.328	0.553398058252427	0	0.79854940950469
GU.973_<<_GU.249	GU.973	GU.249	0.555825242718447	0	0.79854940950469
GU.92_<<_GU.3831	GU.92	GU.3831	0.580916864913521	1	-0.342997170285018
GU.178_<<_GU.95	GU.178	GU.95	0.583119012409182	0	-0.361157559257308
GU.860_<<_GU.166	GU.860	GU.166	0.586639233588375	-1	0.363241578628389
GU.860_<<_GU.6433	GU.860	GU.6433	0.59237767633254	-1	0.363241578628389
GU.860_<<_GU.1149	GU.860	GU.1149	0.602970488008744	1	0.363241578628389
GU.860_<<_GU.124	GU.860	GU.124	0.606956857197968	1	-0.31578947368421
GU.860_<<_GU.358	GU.860	GU.358	0.60870893075291	1	0.363241578628389
GU.124_<<_GU.315	GU.124	GU.315	0.616874557963094	-1	0.363241578628389
GU.124_<<_GU.699	GU.124	GU.699	0.625040185173279	1	0.363241578628389
GU.1020_<<_GU.1924	GU.1020	GU.1924	0.62725840673825	1	-0.306924907022426
GU.2750_<<_GU.1149	GU.2750	GU.1149	0.640487365781521	1	0.363241578628389
GU.760_<<_GU.1771	GU.760	GU.1771	0.650485436893204	0	-0.470588235294118
GU.92_<<_GU.2735	GU.92	GU.2735	0.662621359223301	0	-0.427792631946499
GU.400_<<_GU.1149	GU.400	GU.1149	0.681540538802803	1	0.297559517855952
GU.760_<<_GU.6433	GU.760	GU.6433	0.689706166012988	1	0.297559517855952
GU.760_<<_GU.916	GU.760	GU.916	0.695444608757153	-1	0.297559517855952
GU.760_<<_GU.671	GU.760	GU.671	0.698321867163891	-1	-0.253320198552449
GU.905_<<_GU.6433	GU.905	GU.6433	0.701183051501318	0	0.297559517855952
GU.400_<<_GU.1671	GU.400	GU.1671	0.703883495145631	0	0.429863476810548
GU.905_<<_GU.671	GU.905	GU.671	0.704060309908056	1	-0.253320198552449
GU.1771_<<_GU.409	GU.1771	GU.409	0.709348678711503	1	0.297559517855952
GU.1771_<<_GU.973	GU.1771	GU.973	0.713110010930367	0	-0.253320198552449
GU.185_<<_GU.328	GU.185	GU.328	0.730582524271845	0	-0.393178549746392
GU.185_<<_GU.249	GU.185	GU.249	0.733009708737864	0	-0.393178549746392
GU.178_<<_GU.328	GU.178	GU.328	0.737864077669903	0	-0.361157559257308
GU.178_<<_GU.249	GU.178	GU.249	0.740291262135922	0	-0.361157559257308
GU.3831_<<_GU.85	GU.3831	GU.85	0.747572815533981	0	0.408248290463863
GU.3831_<<_GU.267	GU.3831	GU.267	0.75	0	0.408248290463863
GU.178_<<_GU.860	GU.178	GU.860	0.751655629139073	1	-0.497067423386217
GU.3831_<<_GU.1795	GU.3831	GU.1795	0.752427184466019	0	0.408248290463863
GU.3831_<<_GU.928	GU.3831	GU.928	0.754854368932039	0	0.408248290463863
GU.1020_<<_GU.760	GU.1020	GU.760	0.754966887417219	1	0.487446094788217
GU.178_<<_GU.1149	GU.178	GU.1149	0.760110589596862	-1	-0.25
GU.178_<<_GU.358	GU.178	GU.358	0.765849032341027	-1	-0.25
GU.860_<<_GU.916	GU.860	GU.916	0.766990291262136	0	0.363241578628389
GU.860_<<_GU.1722	GU.860	GU.1722	0.769417475728155	0	0.363241578628389
GU.760_<<_GU.2508	GU.760	GU.2508	0.771523178807947	-1	-0.427792631946499
GU.860_<<_GU.757	GU.860	GU.757	0.776699029126214	0	0.363241578628389
GU.124_<<_GU.931	GU.124	GU.931	0.781553398058252	0	0.363241578628389
GU.760_<<_GU.1671	GU.760	GU.1671	0.786375618851669	-1	-0.202288694969669
GU.124_<<_GU.2616	GU.124	GU.2616	0.786407766990291	0	0.363241578628389
GU.124_<<_GU.805	GU.124	GU.805	0.788834951456311	0	0.363241578628389
