x	y	avg.rank	avg.ort	ecorr
GU.860_<<_GU.1149	GU.860	GU.1149	0.641425449117757	1	0.363241578628389
GU.124_<<_GU.315	GU.124	GU.315	0.654805693267232	-1	0.363241578628389
GU.92_<<_GU.1771	GU.92	GU.1771	0.662721893491124	0	0.63235294117647
GU.124_<<_GU.699	GU.124	GU.699	0.66522735753505	1	0.363241578628389
GU.760_<<_GU.1771	GU.760	GU.1771	0.668639053254438	0	-0.470588235294118
GU.905_<<_GU.1771	GU.905	GU.1771	0.68018018018018	0	0.816176470588235
GU.2750_<<_GU.1149	GU.2750	GU.1149	0.684524761447838	1	0.363241578628389
GU.1924_<<_GU.2616	GU.1924	GU.2616	0.701183431952663	0	0.692218655243173
GU.1924_<<_GU.805	GU.1924	GU.805	0.70414201183432	0	0.692218655243173
GU.3349_<<_GU.860	GU.3349	GU.860	0.715976331360947	0	-0.385495539721941
GU.760_<<_GU.6433	GU.760	GU.6433	0.71733567887414	1	0.297559517855952
GU.1771_<<_GU.124	GU.1771	GU.124	0.718934911242604	0	-0.385495539721941
GU.400_<<_GU.1671	GU.400	GU.1671	0.72189349112426	0	0.429863476810548
GU.1771_<<_GU.973	GU.1771	GU.973	0.72493203262434	0	-0.253320198552449
GU.973_<<_GU.916	GU.973	GU.916	0.730769230769231	0	0.552770798392567
GU.1771_<<_GU.409	GU.1771	GU.409	0.733674502905272	1	0.297559517855952
GU.185_<<_GU.328	GU.185	GU.328	0.751479289940828	0	-0.393178549746392
GU.185_<<_GU.249	GU.185	GU.249	0.754437869822485	0	-0.393178549746392
GU.3831_<<_GU.85	GU.3831	GU.85	0.760355029585799	0	0.408248290463863
GU.3831_<<_GU.267	GU.3831	GU.267	0.763313609467456	0	0.408248290463863
GU.3831_<<_GU.1795	GU.3831	GU.1795	0.766272189349112	0	0.408248290463863
GU.3831_<<_GU.928	GU.3831	GU.928	0.769230769230769	0	0.408248290463863
GU.860_<<_GU.1722	GU.860	GU.1722	0.77810650887574	0	0.363241578628389
GU.860_<<_GU.358	GU.860	GU.358	0.784023668639053	0	0.363241578628389
GU.760_<<_GU.1671	GU.760	GU.1671	0.785782824244363	-1	-0.202288694969669
GU.860_<<_GU.757	GU.860	GU.757	0.78698224852071	0	0.363241578628389
GU.178_<<_GU.860	GU.178	GU.860	0.788288288288288	1	-0.497067423386217
GU.124_<<_GU.931	GU.124	GU.931	0.792899408284024	0	0.363241578628389
GU.124_<<_GU.2616	GU.124	GU.2616	0.798816568047337	0	0.363241578628389
GU.124_<<_GU.805	GU.124	GU.805	0.801775147928994	0	0.363241578628389
GU.124_<<_GU.871	GU.124	GU.871	0.804733727810651	0	0.363241578628389
GU.760_<<_GU.2508	GU.760	GU.2508	0.806306306306306	-1	-0.427792631946499
GU.124_<<_GU.412	GU.124	GU.412	0.807692307692308	0	0.363241578628389
GU.2750_<<_GU.358	GU.2750	GU.358	0.813609467455621	0	0.363241578628389
GU.905_<<_GU.671	GU.905	GU.671	0.816568047337278	0	-0.253320198552449
GU.1771_<<_GU.671	GU.1771	GU.671	0.822485207100592	0	-0.253320198552449
GU.760_<<_GU.916	GU.760	GU.916	0.828402366863905	0	0.297559517855952
GU.905_<<_GU.6433	GU.905	GU.6433	0.831360946745562	0	0.297559517855952
GU.905_<<_GU.916	GU.905	GU.916	0.834319526627219	0	0.297559517855952
