x	y	epresenceScore	epresence	eorientScore	eorient	ecorr
GU.905_<<_GU.1771	GU.905	GU.1771	0.334174714245599	1	NA	1	NA
GU.699_<<_GU.2616	GU.699	GU.2616	0.187944147734172	1	NA	1	NA
GU.699_<<_GU.805	GU.699	GU.805	0.187944147734172	1	NA	1	NA
GU.2616_<<_GU.805	GU.2616	GU.805	0.187944147734172	1	NA	1	NA
GU.92_<<_GU.905	GU.92	GU.905	0.180619032442301	1	NA	1	NA
GU.92_<<_GU.1771	GU.92	GU.1771	0.180619032442301	1	NA	1	NA
GU.1924_<<_GU.699	GU.1924	GU.699	0.112492373289377	1	NA	1	NA
GU.1924_<<_GU.2616	GU.1924	GU.2616	0.112492373289377	1	NA	1	NA
GU.1924_<<_GU.805	GU.1924	GU.805	0.112492373289377	1	NA	1	NA
GU.973_<<_GU.671	GU.973	GU.671	0.107824779809689	1	NA	1	NA
GU.905_<<_GU.671	GU.905	GU.671	0.0500454965391999	1	NA	1	NA
GU.1771_<<_GU.973	GU.1771	GU.973	0.0500454965391999	1	NA	1	NA
GU.1771_<<_GU.671	GU.1771	GU.671	0.0500454965391999	1	NA	1	NA
GU.92_<<_GU.1924	GU.92	GU.1924	0.0324661929164818	1	NA	1	NA
GU.905_<<_GU.1924	GU.905	GU.1924	0.0324661929164818	1	NA	1	NA
GU.1771_<<_GU.1924	GU.1771	GU.1924	0.0324661929164818	1	NA	1	NA
GU.92_<<_GU.973	GU.92	GU.973	0	0	NA	0	NA
GU.92_<<_GU.699	GU.92	GU.699	0	0	NA	0	NA
GU.92_<<_GU.2616	GU.92	GU.2616	0	0	NA	0	NA
GU.92_<<_GU.805	GU.92	GU.805	0	0	NA	0	NA
GU.92_<<_GU.671	GU.92	GU.671	0	0	NA	0	NA
GU.905_<<_GU.973	GU.905	GU.973	0	0	NA	0	NA
GU.905_<<_GU.699	GU.905	GU.699	0	0	NA	0	NA
GU.905_<<_GU.2616	GU.905	GU.2616	0	0	NA	0	NA
GU.905_<<_GU.805	GU.905	GU.805	0	0	NA	0	NA
GU.1771_<<_GU.699	GU.1771	GU.699	0	0	NA	0	NA
GU.1771_<<_GU.2616	GU.1771	GU.2616	0	0	NA	0	NA
GU.1771_<<_GU.805	GU.1771	GU.805	0	0	NA	0	NA
GU.973_<<_GU.1924	GU.973	GU.1924	0	0	NA	0	NA
GU.973_<<_GU.699	GU.973	GU.699	0	0	NA	0	NA
GU.973_<<_GU.2616	GU.973	GU.2616	0	0	NA	0	NA
GU.973_<<_GU.805	GU.973	GU.805	0	0	NA	0	NA
GU.1924_<<_GU.671	GU.1924	GU.671	0	0	NA	0	NA
GU.699_<<_GU.671	GU.699	GU.671	0	0	NA	0	NA
GU.2616_<<_GU.671	GU.2616	GU.671	0	0	NA	0	NA
GU.805_<<_GU.671	GU.805	GU.671	0	0	NA	0	NA
