x	y	epresenceScore	epresence	eorientScore	eorient	ecorr
GU.185_<<_GU.1924	GU.185	GU.1924	NA	1	NA	-2	NA
GU.185_<<_GU.166	GU.185	GU.166	NA	0	NA	0	NA
GU.185_<<_GU.93	GU.185	GU.93	NA	0	NA	0	NA
GU.185_<<_GU.699	GU.185	GU.699	NA	0	NA	0	NA
GU.185_<<_GU.1722	GU.185	GU.1722	NA	0	NA	0	NA
GU.185_<<_GU.2616	GU.185	GU.2616	NA	0	NA	0	NA
GU.185_<<_GU.805	GU.185	GU.805	NA	0	NA	0	NA
GU.185_<<_GU.757	GU.185	GU.757	NA	0	NA	0	NA
GU.1924_<<_GU.166	GU.1924	GU.166	NA	1	NA	-2	NA
GU.1924_<<_GU.93	GU.1924	GU.93	NA	1	NA	-2	NA
GU.1924_<<_GU.699	GU.1924	GU.699	NA	1	NA	-2	NA
GU.1924_<<_GU.1722	GU.1924	GU.1722	NA	1	NA	-2	NA
GU.1924_<<_GU.2616	GU.1924	GU.2616	NA	1	NA	-2	NA
GU.1924_<<_GU.805	GU.1924	GU.805	NA	1	NA	-2	NA
GU.1924_<<_GU.757	GU.1924	GU.757	NA	1	NA	-2	NA
GU.166_<<_GU.93	GU.166	GU.93	NA	1	NA	-2	NA
GU.166_<<_GU.699	GU.166	GU.699	NA	1	NA	2	NA
GU.166_<<_GU.1722	GU.166	GU.1722	NA	1	NA	2	NA
GU.166_<<_GU.2616	GU.166	GU.2616	NA	0	NA	0	NA
GU.166_<<_GU.805	GU.166	GU.805	NA	0	NA	0	NA
GU.166_<<_GU.757	GU.166	GU.757	NA	1	NA	2	NA
GU.93_<<_GU.699	GU.93	GU.699	NA	1	NA	2	NA
GU.93_<<_GU.1722	GU.93	GU.1722	NA	1	NA	2	NA
GU.93_<<_GU.2616	GU.93	GU.2616	NA	0	NA	0	NA
GU.93_<<_GU.805	GU.93	GU.805	NA	0	NA	0	NA
GU.93_<<_GU.757	GU.93	GU.757	NA	1	NA	2	NA
GU.699_<<_GU.1722	GU.699	GU.1722	NA	1	NA	-2	NA
GU.699_<<_GU.2616	GU.699	GU.2616	NA	1	NA	-2	NA
GU.699_<<_GU.805	GU.699	GU.805	NA	1	NA	2	NA
GU.699_<<_GU.757	GU.699	GU.757	NA	1	NA	-2	NA
GU.1722_<<_GU.2616	GU.1722	GU.2616	NA	0	NA	0	NA
GU.1722_<<_GU.805	GU.1722	GU.805	NA	0	NA	0	NA
GU.1722_<<_GU.757	GU.1722	GU.757	NA	1	NA	2	NA
GU.2616_<<_GU.805	GU.2616	GU.805	NA	1	NA	2	NA
GU.2616_<<_GU.757	GU.2616	GU.757	NA	0	NA	0	NA
GU.805_<<_GU.757	GU.805	GU.757	NA	0	NA	0	NA
