x	y	epresenceScore	epresence	eorientScore	eorient	ecorr
GU.1771_<<_GU.2750	GU.1771	GU.2750	0.371132681808954	1	NA	1	NA
GU.860_<<_GU.973	GU.860	GU.973	0.200569667938323	1	NA	1	NA
GU.92_<<_GU.1771	GU.92	GU.1771	0.180619032442301	1	NA	1	NA
GU.124_<<_GU.1671	GU.124	GU.1671	0.126005971377833	1	NA	1	NA
GU.1671_<<_GU.25	GU.1671	GU.25	0.112492373289377	1	NA	1	NA
GU.92_<<_GU.124	GU.92	GU.124	0.109591046774762	1	NA	1	NA
GU.1771_<<_GU.124	GU.1771	GU.124	0.109591046774762	1	NA	1	NA
GU.92_<<_GU.3831	GU.92	GU.3831	0.0884601239650213	1	NA	1	NA
GU.860_<<_GU.124	GU.860	GU.124	0.077102242415211	1	NA	1	NA
GU.1771_<<_GU.973	GU.1771	GU.973	0.0500454965391999	1	NA	1	NA
GU.92_<<_GU.860	GU.92	GU.860	0	0	NA	0	NA
GU.92_<<_GU.2750	GU.92	GU.2750	0	0	NA	0	NA
GU.92_<<_GU.973	GU.92	GU.973	0	0	NA	0	NA
GU.92_<<_GU.1671	GU.92	GU.1671	0	0	NA	0	NA
GU.92_<<_GU.25	GU.92	GU.25	0	0	NA	0	NA
GU.1771_<<_GU.860	GU.1771	GU.860	0	0	NA	0	NA
GU.1771_<<_GU.3831	GU.1771	GU.3831	0	0	NA	0	NA
GU.1771_<<_GU.1671	GU.1771	GU.1671	0	0	NA	0	NA
GU.1771_<<_GU.25	GU.1771	GU.25	0	0	NA	0	NA
GU.860_<<_GU.2750	GU.860	GU.2750	0	0	NA	0	NA
GU.860_<<_GU.3831	GU.860	GU.3831	0	0	NA	0	NA
GU.860_<<_GU.1671	GU.860	GU.1671	0	0	NA	0	NA
GU.860_<<_GU.25	GU.860	GU.25	0	0	NA	0	NA
GU.124_<<_GU.2750	GU.124	GU.2750	0	0	NA	0	NA
GU.124_<<_GU.3831	GU.124	GU.3831	0	0	NA	0	NA
GU.124_<<_GU.973	GU.124	GU.973	0	0	NA	0	NA
GU.124_<<_GU.25	GU.124	GU.25	0	0	NA	0	NA
GU.2750_<<_GU.3831	GU.2750	GU.3831	0	0	NA	0	NA
GU.2750_<<_GU.973	GU.2750	GU.973	0	0	NA	0	NA
GU.2750_<<_GU.1671	GU.2750	GU.1671	0	0	NA	0	NA
GU.2750_<<_GU.25	GU.2750	GU.25	0	0	NA	0	NA
GU.3831_<<_GU.973	GU.3831	GU.973	0	0	NA	0	NA
GU.3831_<<_GU.1671	GU.3831	GU.1671	0	0	NA	0	NA
GU.3831_<<_GU.25	GU.3831	GU.25	0	0	NA	0	NA
GU.973_<<_GU.1671	GU.973	GU.1671	0	0	NA	0	NA
GU.973_<<_GU.25	GU.973	GU.25	0	0	NA	0	NA
