x	y	epresenceScore	epresence	eorientScore	eorient	ecorr
GU.1020_<<_GU.400	GU.1020	GU.400	0.321342656790916	1	NA	1	NA
GU.6433_<<_GU.916	GU.6433	GU.916	0.187944147734172	1	NA	1	NA
GU.400_<<_GU.760	GU.400	GU.760	0.156706524792785	1	NA	1	NA
GU.400_<<_GU.671	GU.400	GU.671	0.155224755062155	1	NA	1	NA
GU.760_<<_GU.3831	GU.760	GU.3831	0.106467034034238	1	NA	1	NA
GU.1020_<<_GU.1924	GU.1020	GU.1924	0.0624999915127615	1	NA	1	NA
GU.905_<<_GU.671	GU.905	GU.671	0.0500454965391999	1	NA	1	NA
GU.760_<<_GU.6433	GU.760	GU.6433	0.0473776961321124	1	NA	1	NA
GU.760_<<_GU.916	GU.760	GU.916	0.0473776961321124	1	NA	1	NA
GU.905_<<_GU.6433	GU.905	GU.6433	0.0473776961321124	1	NA	1	NA
GU.905_<<_GU.916	GU.905	GU.916	0.0473776961321124	1	NA	1	NA
GU.905_<<_GU.1924	GU.905	GU.1924	0.0324661929164818	1	NA	1	NA
GU.1020_<<_GU.760	GU.1020	GU.760	0	0	NA	0	NA
GU.1020_<<_GU.905	GU.1020	GU.905	0	0	NA	0	NA
GU.1020_<<_GU.3831	GU.1020	GU.3831	0	0	NA	0	NA
GU.1020_<<_GU.6433	GU.1020	GU.6433	0	0	NA	0	NA
GU.1020_<<_GU.916	GU.1020	GU.916	0	0	NA	0	NA
GU.1020_<<_GU.671	GU.1020	GU.671	0	0	NA	0	NA
GU.400_<<_GU.905	GU.400	GU.905	0	0	NA	0	NA
GU.400_<<_GU.3831	GU.400	GU.3831	0	0	NA	0	NA
GU.400_<<_GU.1924	GU.400	GU.1924	0	0	NA	0	NA
GU.400_<<_GU.6433	GU.400	GU.6433	0	0	NA	0	NA
GU.400_<<_GU.916	GU.400	GU.916	0	0	NA	0	NA
GU.760_<<_GU.905	GU.760	GU.905	0	0	NA	0	NA
GU.760_<<_GU.1924	GU.760	GU.1924	0	0	NA	0	NA
GU.760_<<_GU.671	GU.760	GU.671	0	0	NA	0	NA
GU.905_<<_GU.3831	GU.905	GU.3831	0	0	NA	0	NA
GU.3831_<<_GU.1924	GU.3831	GU.1924	0	0	NA	0	NA
GU.3831_<<_GU.6433	GU.3831	GU.6433	0	0	NA	0	NA
GU.3831_<<_GU.916	GU.3831	GU.916	0	0	NA	0	NA
GU.3831_<<_GU.671	GU.3831	GU.671	0	0	NA	0	NA
GU.1924_<<_GU.6433	GU.1924	GU.6433	0	0	NA	0	NA
GU.1924_<<_GU.916	GU.1924	GU.916	0	0	NA	0	NA
GU.1924_<<_GU.671	GU.1924	GU.671	0	0	NA	0	NA
GU.6433_<<_GU.671	GU.6433	GU.671	0	0	NA	0	NA
GU.916_<<_GU.671	GU.916	GU.671	0	0	NA	0	NA
